User's Query,Retrieval Time,Closest Similar Match 1,Closest Similar Match 2,Closest Similar Match 3,Summarization Time,Summarized Response
What are different type of games available inside jio institute campus ,0.447,"Mumbai and South Mumbai.What facilities are available at the Jio Institute campus?Jio Institute’s campus boasts of world-class infrastructure for academics, research and extra-curricular activities. To know more about the campus ecosystem and the facilities it offers, please click here.What kind of extra-curricular activities, student clubs, etc., can students enrol in at Jio Institute?Jio Institute hosts a vibrant student community. Students are encouraged to participate in various national and international competitions, be part of dynamic student clubs and pursue their areas of interest.  To know more about the campus ecosystem and the facilities it offers, please click here.What all","Mumbai and South Mumbai.What facilities are available at the Jio Institute campus?Jio Institute’s campus boasts of world-class infrastructure for academics, research and extra-curricular activities. To know more about the campus ecosystem and the facilities it offers, please click here.What kind of extra-curricular activities, student clubs, etc., can students enrol in at Jio Institute?Jio Institute hosts a vibrant student community. Students are encouraged to participate in various national and international competitions, be part of dynamic student clubs and pursue their areas of interest.  To know more about the campus ecosystem and the facilities it offers, please click here.What all","Mumbai and South Mumbai.What facilities are available at the Jio Institute campus?Jio Institute’s campus boasts of world-class infrastructure for academics, research and extra-curricular activities. To know more about the campus ecosystem and the facilities it offers, please click here.What kind of extra-curricular activities, student clubs, etc., can students enrol in at Jio Institute?Jio Institute hosts a vibrant student community. Students are encouraged to participate in various national and international competitions, be part of dynamic student clubs and pursue their areas of interest.  To know more about the campus ecosystem and the facilities it offers, please click here.What all",1.779,"The Jio Institute campus offers a variety of sports facilities such as basketball, volleyball, cricket, football, and badminton for students to engage in physical activities. Additionally, there may be indoor games like table tennis and chess available for students to enjoy. Thanks for asking!"
what courses are offered,0.744,"training in these programmes?The programmes are comprehensive and rigorous with a good blend of theory and practice. In addition to classroom-based lectures, the programmes include experiential and hands-on learning components such as case studies, lab assignments, projects, industry visits and capstone projects, etc.How is the curriculum structured?For details about curriculum, please visit website  or write to us at you may reach out to us at admissions@jioinstitute.edu.inWhat all courses do you provide? Is it a degree programme?Presently, Jio Institute offers Postgraduate Programmes in three disciplines: Artificial Intelligence & Data Science (AI & DS), Digital Media & Marketing","training in these programmes?The programmes are comprehensive and rigorous with a good blend of theory and practice. In addition to classroom-based lectures, the programmes include experiential and hands-on learning components such as case studies, lab assignments, projects, industry visits and capstone projects, etc.How is the curriculum structured?For details about curriculum, please visit website  or write to us at you may reach out to us at admissions@jioinstitute.edu.inWhat all courses do you provide? Is it a degree programme?Presently, Jio Institute offers Postgraduate Programmes in three disciplines: Artificial Intelligence & Data Science (AI & DS), Digital Media & Marketing","training in these programmes?The programmes are comprehensive and rigorous with a good blend of theory and practice. In addition to classroom-based lectures, the programmes include experiential and hands-on learning components such as case studies, lab assignments, projects, industry visits and capstone projects, etc.How is the curriculum structured?For details about curriculum, please visit website  or write to us at you may reach out to us at admissions@jioinstitute.edu.inWhat all courses do you provide? Is it a degree programme?Presently, Jio Institute offers Postgraduate Programmes in three disciplines: Artificial Intelligence & Data Science (AI & DS), Digital Media & Marketing",1.61,Jio Institute offers Postgraduate Programmes in Artificial Intelligence & Data Science (AI & DS) and Digital Media & Marketing. It is not specified if these are degree programs. Thanks for asking!
hi,0.65,"weekends?Jio Institute has set up a state-of-the-art library adopting a blend of advanced digital technology and physical space to augment the knowledge and learning needs of its students, faculty and staff.The Library will be accessible to all members on weekends as well.","you to better understand the application of knowledge, tools and concepts taught during an academic programme. We encourage you to apply and seek guidance from an admissions counsellor to gain further insight.I have 8-10 years of work experience. Can I apply? What is the average age group of the batch?Candidates with higher experience are welcome to apply. The average age of the current (2023-24) batch is 25 years.When will the academic sessions commence? Will it take place online or on campus?Our academic sessions will commence in April 2024. All our postgraduate programmes are full-time residential programmes. I have not appeared for any entrance exam. Am I eligible to apply?You are","you to better understand the application of knowledge, tools and concepts taught during an academic programme. We encourage you to apply and seek guidance from an admissions counsellor to gain further insight.I have 8-10 years of work experience. Can I apply? What is the average age group of the batch?Candidates with higher experience are welcome to apply. The average age of the current (2023-24) batch is 25 years.When will the academic sessions commence? Will it take place online or on campus?Our academic sessions will commence in April 2024. All our postgraduate programmes are full-time residential programmes. I have not appeared for any entrance exam. Am I eligible to apply?You are",1.043,Hello! How can I assist you today? Thanks for asking!
who are faculties for AI DS programme,0.405,"in three disciplines: Artificial Intelligence & Data Science (AI & DS), Digital Media & Marketing Communications (DM & MC) and Sports Management. These are industry-oriented certificate programmes.For more details, please refer Academics section . Do you have the list of electives I can choose from in each programme?The postgraduate porogramme in AI & DS comprises electives such as Advanced Topics in Machine Learning, Deep Reinforcement Learning, Recommendation Engine, etc.For information about the Artificial Intelligence & Data Science curriculum, click here. The Postgraduate Programme in DM & MC comprises electives such as Content Creation & Storytelling, Digital Media Analytics &","in three disciplines: Artificial Intelligence & Data Science (AI & DS), Digital Media & Marketing Communications (DM & MC) and Sports Management. These are industry-oriented certificate programmes.For more details, please refer Academics section . Do you have the list of electives I can choose from in each programme?The postgraduate porogramme in AI & DS comprises electives such as Advanced Topics in Machine Learning, Deep Reinforcement Learning, Recommendation Engine, etc.For information about the Artificial Intelligence & Data Science curriculum, click here. The Postgraduate Programme in DM & MC comprises electives such as Content Creation & Storytelling, Digital Media Analytics &","in three disciplines: Artificial Intelligence & Data Science (AI & DS), Digital Media & Marketing Communications (DM & MC) and Sports Management. These are industry-oriented certificate programmes.For more details, please refer Academics section . Do you have the list of electives I can choose from in each programme?The postgraduate porogramme in AI & DS comprises electives such as Advanced Topics in Machine Learning, Deep Reinforcement Learning, Recommendation Engine, etc.For information about the Artificial Intelligence & Data Science curriculum, click here. The Postgraduate Programme in DM & MC comprises electives such as Content Creation & Storytelling, Digital Media Analytics &",1.822,"The faculties for the AI & DS programme are experienced professionals and experts in the field of Artificial Intelligence and Data Science. For specific information about the faculty members, it is recommended to refer to the Academics section or contact the institution directly. Thanks for asking!"
who are faculties for DMMC programme,0.469,"in DM & MC comprises electives such as Content Creation & Storytelling, Digital Media Analytics & Metrics, Managing New Products, etc.For information about the Digital Media & Marketing Communications curriculum, click here. The Postgraduate Programme in Sports Management does not have electives.  For information about the Sports Management curriculum, click here.How are your programmes different from online programmes?These are full-time residential programmes. We are an interdisciplinary research-driven institution that attracts academicians, researchers and students of the highest calibre. By enrolling in the Institute’s programme, you will experience an enriching intellectual","in DM & MC comprises electives such as Content Creation & Storytelling, Digital Media Analytics & Metrics, Managing New Products, etc.For information about the Digital Media & Marketing Communications curriculum, click here. The Postgraduate Programme in Sports Management does not have electives.  For information about the Sports Management curriculum, click here.How are your programmes different from online programmes?These are full-time residential programmes. We are an interdisciplinary research-driven institution that attracts academicians, researchers and students of the highest calibre. By enrolling in the Institute’s programme, you will experience an enriching intellectual","in DM & MC comprises electives such as Content Creation & Storytelling, Digital Media Analytics & Metrics, Managing New Products, etc.For information about the Digital Media & Marketing Communications curriculum, click here. The Postgraduate Programme in Sports Management does not have electives.  For information about the Sports Management curriculum, click here.How are your programmes different from online programmes?These are full-time residential programmes. We are an interdisciplinary research-driven institution that attracts academicians, researchers and students of the highest calibre. By enrolling in the Institute’s programme, you will experience an enriching intellectual",1.958,"The faculties for the DMMC programme consist of experienced academicians and industry professionals with expertise in digital media, marketing communications, content creation, analytics, and product management. For specific information about the faculty members, please refer to the official website or contact the institute directly. Thanks for asking!"
for this programme how many seats are available?,0.487,the world as well as different Academic Advisors for different programmes.What kind of reservation policy does Jio Institute follow?  Jio Institute follows a need-blind merit-based selection process.,the world as well as different Academic Advisors for different programmes.What kind of reservation policy does Jio Institute follow?  Jio Institute follows a need-blind merit-based selection process.,the world as well as different Academic Advisors for different programmes.What kind of reservation policy does Jio Institute follow?  Jio Institute follows a need-blind merit-based selection process.,1.494,"The number of seats available for the DMMC programme can vary each year, so it is best to check the official website or contact the institute directly for the most up-to-date information on seat availability. Thanks for asking!"
Hi Jio,0.467,"from around the world. Jio Institute aspires to feature in the top global rankings over next 15 years. Over a period, Jio Institute shall provide programmes in Computing & Engineering, Architecture & Urban Planning, Media, Communication & Journalism, Arts, Humanities & Science, Management & Entrepreneurship, Law Governance & Policy, and Medicine at UG, PG, Doctoral and Post-Doctoral level. For details about Jio Institute's growth plan, please refer Growth Plan.","from around the world. Jio Institute aspires to feature in the top global rankings over next 15 years. Over a period, Jio Institute shall provide programmes in Computing & Engineering, Architecture & Urban Planning, Media, Communication & Journalism, Arts, Humanities & Science, Management & Entrepreneurship, Law Governance & Policy, and Medicine at UG, PG, Doctoral and Post-Doctoral level. For details about Jio Institute's growth plan, please refer Growth Plan.","from around the world. Jio Institute aspires to feature in the top global rankings over next 15 years. Over a period, Jio Institute shall provide programmes in Computing & Engineering, Architecture & Urban Planning, Media, Communication & Journalism, Arts, Humanities & Science, Management & Entrepreneurship, Law Governance & Policy, and Medicine at UG, PG, Doctoral and Post-Doctoral level. For details about Jio Institute's growth plan, please refer Growth Plan.",0.79,Hello! How can I assist you today? Thanks for asking!
what is Power of Accommodation,0.535,"Science 162entering the eye. The eye lens forms an inverted real image of the object
on the retina. The retina is a delicate membrane having enormous
number of light-sensitive cells.  The light-sensitive cells get activated
upon illumination and generate electrical signals.  These signals are
sent to the brain via the optic nerves.  The brain interprets these signals,
and finally, processes the information so that we perceive objects as
they are.
10.1.1 Power of Accommodation
The eye lens is composed of a fibrous, jelly-like material. Its curvature
can be modified to some extent by the ciliary muscles. The change in the
curvature of the eye lens can thus change its focal length. When the","Science 162entering the eye. The eye lens forms an inverted real image of the object
on the retina. The retina is a delicate membrane having enormous
number of light-sensitive cells.  The light-sensitive cells get activated
upon illumination and generate electrical signals.  These signals are
sent to the brain via the optic nerves.  The brain interprets these signals,
and finally, processes the information so that we perceive objects as
they are.
10.1.1 Power of Accommodation
The eye lens is composed of a fibrous, jelly-like material. Its curvature
can be modified to some extent by the ciliary muscles. The change in the
curvature of the eye lens can thus change its focal length. When the","Science 170What y ou hav e learnt
/square6The ability of the eye to focus on both near and distant objects, by adjusting its
focal length, is called the accommodation of the eye.
/square6The smallest distance, at which the eye can see objects clearly without strain, is
called the near point of the eye or the least distance of distinct vision.  For a young
adult with normal vision, it is about 25 cm.
/square6The common refractive defects of vision include myopia, hypermetropia and
presbyopia. Myopia (short-sightedness – the image of distant objects is focussed
befor e the r etina) is corr ected by using a concave lens of suitable power .",1.966,"The Power of Accommodation refers to the ability of the eye lens to adjust its curvature, and therefore its focal length, in order to focus on objects at different distances. This allows the eye to see both near and distant objects clearly without strain. Thanks for asking!"
what is Power of Accommodation,0.533,"Science 162entering the eye. The eye lens forms an inverted real image of the object
on the retina. The retina is a delicate membrane having enormous
number of light-sensitive cells.  The light-sensitive cells get activated
upon illumination and generate electrical signals.  These signals are
sent to the brain via the optic nerves.  The brain interprets these signals,
and finally, processes the information so that we perceive objects as
they are.
10.1.1 Power of Accommodation
The eye lens is composed of a fibrous, jelly-like material. Its curvature
can be modified to some extent by the ciliary muscles. The change in the
curvature of the eye lens can thus change its focal length. When the","Science 170What y ou hav e learnt
/square6The ability of the eye to focus on both near and distant objects, by adjusting its
focal length, is called the accommodation of the eye.
/square6The smallest distance, at which the eye can see objects clearly without strain, is
called the near point of the eye or the least distance of distinct vision.  For a young
adult with normal vision, it is about 25 cm.
/square6The common refractive defects of vision include myopia, hypermetropia and
presbyopia. Myopia (short-sightedness – the image of distant objects is focussed
befor e the r etina) is corr ected by using a concave lens of suitable power .","Sometimes, the eye may gradually lose its power of accommodation.
In such conditions, the person cannot see the objects distinctly and
comfortably. The vision becomes blurred due to the refractive defects
of the eye.
There are mainly three common refractive defects of vision. These
are (i) myopia or near -sightedness, (ii) Hyper metr opia or far -
sightedness, and (iii) Presbyopia.  These defects can be corrected by
the use of suitable spherical lenses. W e discuss below these defects
and their correction.
Rationalised 2023-24",1.602,The power of accommodation is the ability of the eye to adjust its focal length in order to focus on both near and distant objects. This adjustment is made possible by changes in the curvature of the eye lens controlled by the ciliary muscles. Thanks for asking!
"Hi, how are you ?",0.478,"Are admissions to the programmes open? What is the last date to apply?Yes, admissions to our postgraduate programmes are currently open. Please visit Admissions for more information.What is the admission process?Our admission process is a simple three-step process:1.    Fill in the online application form.2.    Submit a valid GRE/GMAT/CAT/GATE score or appear for Jio Institute Entrance Test (JET).3.    Appear for an personal interview. The final selection will be on the holistic evaluation of the application, GRE/GMAT/CAT/GATE/JET score and personal interview.Please visit Admissions for more information.For more details, please refer Admissions for more information.What is the eligibility","Are admissions to the programmes open? What is the last date to apply?Yes, admissions to our postgraduate programmes are currently open. Please visit Admissions for more information.What is the admission process?Our admission process is a simple three-step process:1.    Fill in the online application form.2.    Submit a valid GRE/GMAT/CAT/GATE score or appear for Jio Institute Entrance Test (JET).3.    Appear for an personal interview. The final selection will be on the holistic evaluation of the application, GRE/GMAT/CAT/GATE/JET score and personal interview.Please visit Admissions for more information.For more details, please refer Admissions for more information.What is the eligibility","Are admissions to the programmes open? What is the last date to apply?Yes, admissions to our postgraduate programmes are currently open. Please visit Admissions for more information.What is the admission process?Our admission process is a simple three-step process:1.    Fill in the online application form.2.    Submit a valid GRE/GMAT/CAT/GATE score or appear for Jio Institute Entrance Test (JET).3.    Appear for an personal interview. The final selection will be on the holistic evaluation of the application, GRE/GMAT/CAT/GATE/JET score and personal interview.Please visit Admissions for more information.For more details, please refer Admissions for more information.What is the eligibility",1.627,"I'm an AI assistant, so I don't have feelings, but I'm here to help you with any questions you have. Thanks for asking!"
